,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLES PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
10,5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,13,8,0.238,0.094,8.0,0.308,3.323,8.0,69,230,2.156,5,6.598
11,5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,43,11,0.593,0.068,12.484,0.268,5.101,12.484,214,826,2.081,6,6.529
12,6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,24,2,0.846,0.077,14.042,0.35,5.757,14.042,118,359,2.134,1,6.73
13,6588.2,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,19,11,0.267,0.049,15.425,0.238,6.265,15.425,147,640,1.917,5,6.016
14,7050.0,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,26,13,0.333,0.071,11.204,0.328,4.613,11.204,180,585,2.087,1,6.643
15,7511.8,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,34,20,0.259,0.071,13.818,0.258,5.63,13.818,196,798,1.888,27,5.946
16,7973.6,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,35,23,0.207,0.087,14.5,0.316,5.926,14.5,211,715,2.052,8,6.903
17,8435.4,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,70,26,0.458,0.084,14.87,0.375,6.098,14.87,429,1203,2.285,0,7.221
18,8897.2,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,56,28,0.333,0.102,11.743,0.282,4.81,11.743,232,868,1.966,6,6.185
19,9359.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,65,32,0.34,0.094,12.094,0.378,4.989,12.094,389,1060,2.269,2,7.104
20,9820.8,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,59,14,0.616,0.079,11.145,0.251,4.558,11.145,232,949,1.947,18,6.209
21,10282.6,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,57,19,0.5,0.073,12.79,0.285,5.23,12.79,295,1094,1.985,13,6.463
22,10744.4,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,42,16,0.448,0.08,13.109,0.284,5.357,13.109,205,750,1.999,15,6.393
23,11206.2,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21,9,0.4,0.067,9.783,0.318,4.04,9.783,143,464,1.993,7,6.407
24,12129.8,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,35,9,0.591,0.107,11.389,0.232,4.648,11.389,95,435,1.817,0,6.12
25,12591.6,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,70,31,0.386,0.08,14.616,0.306,5.969,14.616,385,1324,2.062,8,6.438
26,13053.4,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,51,42,0.097,0.081,11.55,0.293,4.737,11.55,338,1220,2.055,0,6.461
27,13515.2,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,40,16,0.429,0.081,12.564,0.365,5.172,12.564,252,720,2.239,9,7.227
28,13977.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,33,23,0.179,0.072,10.671,0.289,4.384,10.671,225,825,1.968,6,6.25
29,14438.8,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,61,23,0.452,0.096,11.5,0.288,4.715,11.5,252,949,2.023,16,6.559
30,14900.6,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,57,17,0.541,0.08,11.358,0.3,4.663,11.358,276,988,2.076,9,6.662
31,15362.4,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,20,0,1.0,0.063,14.409,0.36,5.908,14.409,114,331,2.211,0,6.931
32,15824.2,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,102,37,0.468,0.14,123.75,0.247,49.599,123.75,245,1029,1.859,15,6.214
33,16286.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,22,0,1.0,0.05,9.733,0.333,4.026,9.733,146,469,2.078,0,6.779
34,16747.8,https://insights.blackcoffer.com/evolution-of-advertising-industry/,12,6,0.333,0.041,10.585,0.424,4.404,10.585,184,461,2.376,0,7.203
35,17209.6,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,2,3,-0.2,0.049,14.714,0.447,6.064,14.714,46,116,2.456,2,7.107
36,18133.2,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,33,62,-0.305,0.12,13.69,0.304,5.598,13.69,241,831,2.078,2,6.671
37,18595.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,19,9,0.357,0.068,12.906,0.31,5.286,12.906,128,435,2.114,3,6.455
38,19056.8,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,63,24,0.448,0.085,11.198,0.278,4.59,11.198,283,1055,2.012,10,6.482
39,19518.6,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,43,1,0.955,0.116,8.636,0.332,3.587,8.636,126,404,2.161,4,6.832
40,19980.4,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,8,1,0.778,0.04,13.118,0.274,5.357,13.118,61,239,1.951,0,6.269
41,20442.2,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,22,5,0.63,0.057,13.571,0.259,5.532,13.571,123,509,1.859,4,6.192
42,20904.0,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,12,8,0.2,0.069,13.762,0.322,5.634,13.762,93,308,2.142,1,6.744
43,21365.8,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,17,5,0.545,0.108,7.286,0.27,3.022,7.286,55,210,2.118,0,6.794
44,21827.6,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,6,0,1.0,0.064,9.4,0.372,3.909,9.4,35,94,2.255,1,7.064
45,22289.4,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,21,24,-0.067,0.098,8.345,0.237,3.433,8.345,109,488,1.876,16,5.941
46,22751.2,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,9,2,0.636,0.1,11.0,0.191,4.476,11.0,21,113,1.764,1,5.609
47,23213.0,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,38,7,0.689,0.108,10.4,0.337,4.295,10.4,140,439,2.178,0,7.195
48,23674.8,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,2,6,-0.5,0.1,10.0,0.225,4.09,10.0,18,86,1.925,4,5.912
49,24136.6,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,8,21,-0.448,0.146,9.95,0.266,4.086,9.95,53,205,1.975,6,6.075
50,24598.4,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,28,37,-0.138,0.065,13.541,0.39,5.572,13.541,391,1055,2.261,14,7.218
51,25060.2,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,50,23,0.37,0.078,13.254,0.247,5.4,13.254,232,981,1.913,18,6.266
52,25522.0,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,38,20,0.31,0.066,12.754,0.251,5.202,12.754,221,911,1.898,15,6.098
53,25983.8,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,21,2,0.826,0.055,6.194,0.299,2.597,6.194,124,436,2.06,1,6.2
54,26445.6,https://insights.blackcoffer.com/how-you-lead-a-project-or-a-team-without-any-technical-expertise/,46,5,0.804,0.071,12.466,0.246,5.085,12.466,178,760,1.895,4,6.122
55,26907.4,https://insights.blackcoffer.com/can-you-be-great-leader-without-technical-expertise/,23,6,0.586,0.112,15.176,0.283,6.184,15.176,73,265,1.86,8,5.961
56,27369.2,https://insights.blackcoffer.com/how-does-artificial-intelligence-affect-the-environment/,40,10,0.6,0.052,14.118,0.314,5.773,14.118,301,1023,2.081,6,6.657
57,27831.0,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes-2/,27,56,-0.349,0.153,7.743,0.251,3.198,7.743,136,587,1.911,5,6.273
58,28292.8,https://insights.blackcoffer.com/is-perfection-the-greatest-enemy-of-productivity/,46,13,0.559,0.098,8.247,0.224,3.388,8.247,135,638,1.817,5,5.957
59,28754.6,https://insights.blackcoffer.com/global-financial-crisis-2008-causes-effects-and-its-solution/,22,28,-0.12,0.083,12.83,0.214,5.218,12.83,129,624,1.833,3,5.977
60,29216.4,https://insights.blackcoffer.com/gender-diversity-and-equality-in-the-tech-industry/,27,16,0.256,0.068,9.324,0.358,3.873,9.324,227,686,2.271,7,6.924
61,29678.2,https://insights.blackcoffer.com/how-to-overcome-your-fear-of-making-mistakes/,26,59,-0.388,0.151,8.53,0.259,3.516,8.53,146,608,1.927,6,6.263
62,30140.0,https://insights.blackcoffer.com/how-small-business-can-survive-the-coronavirus-crisis/,22,8,0.467,0.08,11.088,0.3,4.555,11.088,113,392,2.0,5,6.279
63,30601.8,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors-and-food-stalls/,6,3,0.333,0.055,15.0,0.273,6.109,15.0,45,168,1.939,0,6.382
64,31063.6,https://insights.blackcoffer.com/impacts-of-covid-19-on-vegetable-vendors/,24,13,0.297,0.083,18.667,0.283,7.58,18.667,127,470,2.08,0,6.775
65,31525.4,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-tourism-aviation-industries/,22,25,-0.064,0.066,12.224,0.295,5.008,12.224,209,761,1.994,6,6.535
66,31987.2,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-sports-events-around-the-world/,33,10,0.535,0.019,8.94,0.26,3.68,8.94,576,2442,1.922,2,6.1
67,32449.0,https://insights.blackcoffer.com/changing-landscape-and-emerging-trends-in-the-indian-it-ites-industry/,34,39,-0.068,0.076,11.639,0.304,4.777,11.639,294,1008,2.05,6,6.605
68,32910.8,https://insights.blackcoffer.com/online-gaming-adolescent-online-gaming-effects-demotivated-depression-musculoskeletal-and-psychosomatic-symptoms/,27,47,-0.27,0.079,15.065,0.367,6.173,15.065,343,969,2.237,0,6.92
69,33372.6,https://insights.blackcoffer.com/human-rights-outlook/,3,1,0.5,0.053,10.857,0.276,4.453,10.857,21,85,1.947,2,6.118
70,33834.4,https://insights.blackcoffer.com/how-voice-search-makes-your-business-a-successful-business/,34,4,0.789,0.076,13.514,0.246,5.504,13.514,123,533,1.866,1,6.192
71,34296.2,https://insights.blackcoffer.com/how-the-covid-19-crisis-is-redefining-jobs-and-services/,36,29,0.108,0.067,8.22,0.328,3.419,8.22,318,1006,2.069,5,6.566
72,34758.0,https://insights.blackcoffer.com/how-to-increase-social-media-engagement-for-marketers/,47,14,0.541,0.062,11.477,0.3,4.711,11.477,296,1055,2.005,5,6.452
73,35219.8,https://insights.blackcoffer.com/impacts-of-covid-19-on-streets-sides-food-stalls/,28,28,0.0,0.089,13.447,0.269,5.486,13.447,170,659,1.989,2,6.435
74,35681.6,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets-2/,17,41,-0.414,0.055,14.257,0.344,5.84,14.257,363,1116,2.166,1,6.731
75,36143.4,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-5/,14,36,-0.44,0.09,11.347,0.288,4.654,11.347,160,591,2.106,3,6.608
76,36605.2,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-4/,37,37,0.0,0.112,9.181,0.284,3.786,9.181,188,672,1.977,35,6.295
77,37067.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-2/,27,24,0.059,0.078,17.73,0.3,7.212,17.73,197,677,2.02,11,6.308
78,37528.8,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work-3/,17,33,-0.32,0.067,11.952,0.321,4.909,11.952,238,830,2.198,2,6.993
79,37990.6,https://insights.blackcoffer.com/travel-and-tourism-outlook/,4,2,0.333,0.059,11.333,0.245,4.631,11.333,25,113,1.863,2,5.892
80,38452.4,https://insights.blackcoffer.com/gaming-disorder-and-effects-of-gaming-on-health/,24,38,-0.226,0.098,10.879,0.271,4.46,10.879,171,652,1.941,13,6.25
81,38914.2,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation/,11,22,-0.333,0.086,11.235,0.306,4.616,11.235,117,414,2.052,3,6.403
82,39376.0,https://insights.blackcoffer.com/what-is-the-repercussion-of-the-environment-due-to-the-covid-19-pandemic-situation-2/,28,50,-0.282,0.116,12.923,0.342,5.306,12.923,230,703,2.165,2,6.841
83,39837.8,https://insights.blackcoffer.com/impact-of-covid-19-pandemic-on-office-space-and-co-working-industries/,29,31,-0.033,0.103,14.949,0.244,6.077,14.949,142,610,1.864,5,6.117
84,40299.6,https://insights.blackcoffer.com/contribution-of-handicrafts-visual-arts-literature-in-the-indian-economy/,1,0,1.0,0.011,18.2,0.264,7.386,18.2,24,93,2.022,0,6.681
85,40761.4,https://insights.blackcoffer.com/how-covid-19-is-impacting-payment-preferences/,19,2,0.81,0.067,10.467,0.213,4.272,10.467,67,333,1.847,2,6.115
86,41223.2,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-2/,31,42,-0.151,0.139,15.909,0.343,6.501,15.909,180,565,2.177,1,6.886
87,41685.0,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis/,28,21,0.143,0.135,11.677,0.166,4.737,11.677,60,379,1.704,36,5.497
88,42146.8,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding/,8,28,-0.556,0.06,12.1,0.34,4.976,12.1,206,661,2.207,1,6.911
89,42608.6,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-2/,20,26,-0.13,0.081,10.904,0.362,4.506,10.904,205,593,2.215,0,7.051
90,43070.4,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-3/,25,42,-0.254,0.108,12.137,0.315,4.981,12.137,195,672,2.095,1,6.856
91,43532.2,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-3/,19,17,0.056,0.077,13.4,0.324,5.49,13.4,152,491,2.092,7,6.516
92,43994.0,https://insights.blackcoffer.com/estimating-the-impact-of-covid-19-on-the-world-of-work/,44,40,0.048,0.094,12.135,0.258,4.957,12.135,232,937,1.912,3,6.292
93,44455.8,https://insights.blackcoffer.com/covid-19-how-have-countries-been-responding-2/,24,38,-0.226,0.065,13.181,0.315,5.398,13.181,299,997,2.095,6,6.418
94,44917.6,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work-4/,26,24,0.04,0.101,19.84,0.145,7.994,19.84,72,524,1.609,42,5.294
95,45379.4,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-2/,39,55,-0.17,0.089,15.261,0.305,6.226,15.261,321,1104,2.063,11,6.602
96,45841.2,https://insights.blackcoffer.com/lessons-from-the-past-some-key-learnings-relevant-to-the-coronavirus-crisis-3/,39,42,-0.037,0.122,8.597,0.181,3.511,8.597,120,696,1.769,7,5.856
97,46303.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry-4/,7,10,-0.176,0.082,10.4,0.38,4.312,10.4,79,222,2.351,1,6.923
98,46764.8,https://insights.blackcoffer.com/why-scams-like-nirav-modi-happen-with-indian-banks/,47,80,-0.26,0.093,14.167,0.306,5.789,14.167,416,1423,2.035,1,6.522
99,47226.6,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy/,43,56,-0.131,0.121,12.75,0.214,5.186,12.75,175,838,1.786,34,5.752
100,47688.4,https://insights.blackcoffer.com/impact-of-covid-19coronavirus-on-the-indian-economy-2/,41,51,-0.109,0.088,10.653,0.276,4.372,10.653,288,1125,2.007,10,6.234
101,48150.2,https://insights.blackcoffer.com/impact-of-covid-19-on-the-global-economy-2/,51,68,-0.143,0.109,13.936,0.282,5.687,13.936,306,1154,2.017,16,6.44
102,48612.0,https://insights.blackcoffer.com/impact-of-covid-19-coronavirus-on-the-indian-economy-3/,25,35,-0.167,0.1,10.964,0.282,4.498,10.964,170,641,1.995,8,6.279
103,49073.8,https://insights.blackcoffer.com/should-celebrities-be-allowed-to-join-politics/,52,15,0.552,0.065,16.694,0.356,6.82,16.694,368,1064,2.214,3,6.827
104,49535.6,https://insights.blackcoffer.com/how-prepared-is-india-to-tackle-a-possible-covid-19-outbreak/,16,20,-0.111,0.075,14.906,0.287,6.077,14.906,137,504,2.052,2,6.562
105,49997.4,https://insights.blackcoffer.com/how-will-covid-19-affect-the-world-of-work/,33,67,-0.34,0.124,13.23,0.304,5.414,13.23,245,859,2.116,6,6.582
106,50459.2,https://insights.blackcoffer.com/controversy-as-a-marketing-strategy/,6,16,-0.455,0.131,11.2,0.351,4.62,11.2,59,177,2.065,2,6.411
107,50921.0,https://insights.blackcoffer.com/coronavirus-impact-on-the-hospitality-industry/,8,6,0.143,0.048,11.56,0.315,4.75,11.56,91,320,2.125,1,6.657
108,51382.8,https://insights.blackcoffer.com/coronavirus-impact-on-energy-markets/,26,51,-0.325,0.073,20.569,0.309,8.351,20.569,324,1163,2.177,2,6.814
109,51844.6,https://insights.blackcoffer.com/what-are-the-key-policies-that-will-mitigate-the-impacts-of-covid-19-on-the-world-of-work/,76,20,0.583,0.091,14.694,0.302,5.998,14.694,319,1128,2.038,0,6.652
110,52306.4,https://insights.blackcoffer.com/marketing-drives-results-with-a-focus-on-problems/,30,17,0.277,0.059,12.54,0.319,5.144,12.54,252,879,2.185,5,6.763
111,52768.2,https://insights.blackcoffer.com/continued-demand-for-sustainability/,27,18,0.2,0.107,15.63,0.415,6.418,15.63,175,437,2.372,1,7.301
